Task,Dataset,Dataset_number,Representation,Representer,Precision,Classifier,Sensitivity,Specificity,Accuracy,MCC
ionchannels_membraneproteins,balanced,4,frozen,ProtT5,half,RF,80.00±3.00,97.00±3.00,89.00±2.00,0.79±0.03
ionchannels_membraneproteins,balanced,4,frozen,ProtT5,half,kNN,94.00±4.00,68.00±3.00,80.00±2.00,0.64±0.05
ionchannels_membraneproteins,balanced,4,frozen,ProtT5,half,LR,93.00±2.00,92.00±5.00,92.00±2.00,0.85±0.04
ionchannels_membraneproteins,balanced,4,frozen,ProtT5,half,FFNN,93.00±2.00,91.00±5.00,92.00±2.00,0.83±0.05
ionchannels_membraneproteins,balanced,3,frozen,ESM-2_15B,half,SVM,82.00±6.00,98.00±2.00,91.00±2.00,0.82±0.03
ionchannels_membraneproteins,balanced,3,frozen,ESM-2_15B,half,RF,80.00±4.00,98.00±1.00,90.00±2.00,0.80±0.03
ionchannels_membraneproteins,balanced,3,frozen,ESM-2_15B,half,kNN,95.00±3.00,36.00±5.00,64.00±4.00,0.38±0.09
ionchannels_membraneproteins,balanced,3,frozen,ESM-2_15B,half,LR,93.00±3.00,91.00±6.00,92.00±3.00,0.84±0.05
ionchannels_membraneproteins,balanced,3,frozen,ESM-2_15B,half,FFNN,94.00±2.00,91.00±7.00,93.00±4.00,0.85±0.07
ionchannels_membraneproteins,balanced,8,finetuned,ESM-2,half,SVM,92.00±3.00,94.00±2.00,93.00±2.00,0.87±0.04
ionchannels_membraneproteins,balanced,8,finetuned,ESM-2,half,RF,81.00±7.00,96.00±3.00,89.00±5.00,0.78±0.09
ionchannels_membraneproteins,balanced,8,finetuned,ESM-2,half,kNN,95.00±3.00,70.00±3.00,81.00±3.00,0.65±0.05
ionchannels_membraneproteins,balanced,8,finetuned,ESM-2,half,LR,91.00±3.00,91.00±3.00,91.00±3.00,0.82±0.05
ionchannels_membraneproteins,balanced,8,finetuned,ESM-2,half,FFNN,91.00±4.00,90.00±5.00,90.00±3.00,0.81±0.07
ionchannels_membraneproteins,imbalanced,na,frozen,ESM-1b,full,SVM,81.00±6.00,100.00±0.00,99.00±0.00,0.88±0.03
ionchannels_membraneproteins,imbalanced,na,frozen,ESM-1b,full,RF,36.00±5.00,100.00±0.00,96.00±0.00,0.59±0.04
